year,series_type,series_name,series_href
2021,International,"Pakistan tour of England, 2021",https://www.cricbuzz.com/cricket-series/3333/pakistan-tour-of-england-2021/matches
2021,International,"Bangladesh tour of Zimbabwe, 2021",https://www.cricbuzz.com/cricket-series/3561/bangladesh-tour-of-zimbabwe-2021/matches
2021,International,Sofia T20 2021,https://www.cricbuzz.com/cricket-series/8445/sofia-t20-2021/matches
2021,International,"Sri Lanka tour of England, 2021",https://www.cricbuzz.com/cricket-series/3332/sri-lanka-tour-of-england-2021/matches
2021,International,ICC World Test Championship Final 2021,https://www.cricbuzz.com/cricket-series/3468/icc-world-test-championship-final-2021/matches
2021,International,"South Africa tour of West Indies, 2021",https://www.cricbuzz.com/cricket-series/3521/south-africa-tour-of-west-indies-2021/matches
2021,International,"New Zealand tour of England, 2021",https://www.cricbuzz.com/cricket-series/3413/new-zealand-tour-of-england-2021/matches
2021,International,"Ireland tour of Netherlands, 2021",https://www.cricbuzz.com/cricket-series/3447/ireland-tour-of-netherlands-2021/matches
2021,International,"Sri Lanka tour of Bangladesh, 2021",https://www.cricbuzz.com/cricket-series/3507/sri-lanka-tour-of-bangladesh-2021/matches
2021,International,"Central Europe Cup, 2021",https://www.cricbuzz.com/cricket-series/8148/central-europe-cup-2021/matches
2021,International,"Scotland tour of Netherlands, 2021",https://www.cricbuzz.com/cricket-series/3506/scotland-tour-of-netherlands-2021/matches
2021,International,"Pakistan tour of Zimbabwe, 2021",https://www.cricbuzz.com/cricket-series/3487/pakistan-tour-of-zimbabwe-2021/matches
2021,International,"Bangladesh tour of Sri Lanka, 2021",https://www.cricbuzz.com/cricket-series/3477/bangladesh-tour-of-sri-lanka-2021/matches
2021,International,Nepal T20I Tri-Series 2021,https://www.cricbuzz.com/cricket-series/3496/nepal-t20i-tri-series-2021/matches
2021,International,"Uganda tour of Namibia, 2021",https://www.cricbuzz.com/cricket-series/3492/uganda-tour-of-namibia-2021/matches
2021,International,"Pakistan tour of South Africa, 2021",https://www.cricbuzz.com/cricket-series/3423/pakistan-tour-of-south-africa-2021/matches
2021,International,"Bangladesh tour of New Zealand, 2021",https://www.cricbuzz.com/cricket-series/3285/bangladesh-tour-of-new-zealand-2021/matches
2021,International,"Sri Lanka tour of West Indies, 2021",https://www.cricbuzz.com/cricket-series/3452/sri-lanka-tour-of-west-indies-2021/matches
2021,International,"Afghanistan v Zimbabwe in UAE, 2021",https://www.cricbuzz.com/cricket-series/3433/afghanistan-v-zimbabwe-in-uae-2021/matches
2021,International,"Australia tour of New Zealand, 2021",https://www.cricbuzz.com/cricket-series/3280/australia-tour-of-new-zealand-2021/matches
2021,International,"England tour of India, 2021",https://www.cricbuzz.com/cricket-series/3362/england-tour-of-india-2021/matches
2021,International,"South Africa tour of Pakistan, 2021",https://www.cricbuzz.com/cricket-series/3353/south-africa-tour-of-pakistan-2021/matches
2021,International,"New Zealand tour of Australia, 2021 (Postponed)",https://www.cricbuzz.com/cricket-series/3224/new-zealand-tour-of-australia-2021-postponed/matches
2021,International,"Afghanistan v Ireland in UAE, 2021",https://www.cricbuzz.com/cricket-series/3328/afghanistan-v-ireland-in-uae-2021/matches
2021,International,"West Indies tour of Bangladesh, 2021",https://www.cricbuzz.com/cricket-series/3367/west-indies-tour-of-bangladesh-2021/matches
2021,International,"England tour of Sri Lanka, 2021",https://www.cricbuzz.com/cricket-series/3357/england-tour-of-sri-lanka-2021/matches
2021,International,"Ireland tour of United Arab Emirates, 2021",https://www.cricbuzz.com/cricket-series/3387/ireland-tour-of-united-arab-emirates-2021/matches
2021,T20 League,Lanka Premier League 2021,https://www.cricbuzz.com/cricket-series/3891/lanka-premier-league-2021/matches
2021,T20 League,Big Bash League 2021-22,https://www.cricbuzz.com/cricket-series/3576/big-bash-league-2021-22/matches
2021,T20 League,Super Smash 2021-22,https://www.cricbuzz.com/cricket-series/3836/super-smash-2021-22/matches
2021,T20 League,T10 League 2021-22,https://www.cricbuzz.com/cricket-series/3871/t10-league-2021-22/matches
2021,T20 League,CSA Provincial T20 Cup 2021,https://www.cricbuzz.com/cricket-series/3698/csa-provincial-t20-cup-2021/matches
